path,compatibility,groups,faces,triangles,quads,otherFaces,missingMaterialLibraries,undefinedMaterialUses,facesWithoutTextureCoordinates,facesWithoutNormals,invalidVertexFaces,invalidTextureCoordinateFaces,invalidNormalFaces,mixedTriangleQuadGroups
BombGeneric.obj,BAKE_CANDIDATE,1,160,160,0,0,0,0,0,0,0,0,0,0
LilBoy1.obj,BAKE_CANDIDATE,1,278,278,0,0,0,0,0,0,0,0,0,0
Ring.obj,BAKE_CANDIDATE,1,256,256,0,0,0,0,0,0,0,0,0,0
Sphere.obj,BAKE_CANDIDATE,1,80,80,0,0,0,0,0,0,0,0,0,0
armor/AJR.obj,NEEDS_RENDERER_REVIEW,9,1685,1685,0,0,0,0,772,0,0,0,0,0
armor/BJ.obj,BAKE_CANDIDATE,9,730,730,0,0,0,0,0,0,0,0,0,0
armor/bismuth.obj,BAKE_CANDIDATE,8,926,926,0,0,0,0,0,0,0,0,0,0
armor/bnuuy.obj,BAKE_CANDIDATE,8,1467,1467,0,0,0,0,0,0,0,0,0,0
armor/dnt.obj,BAKE_CANDIDATE,8,754,754,0,0,0,0,0,0,0,0,0,0
armor/envsuit.obj,BAKE_CANDIDATE,10,1311,1311,0,0,0,0,0,0,0,0,0,0
armor/fau.obj,BAKE_CANDIDATE,9,1276,1276,0,0,0,0,0,0,0,0,0,0
armor/goggles.obj,BAKE_CANDIDATE,1,492,492,0,0,0,0,0,0,0,0,0,0
armor/hat.obj,BAKE_CANDIDATE,1,38,38,0,0,0,0,0,0,0,0,0,0
armor/hev.obj,BAKE_CANDIDATE,8,686,686,0,0,0,0,0,0,0,0,0,0
armor/mod_tesla.obj,BAKE_CANDIDATE,1,234,234,0,0,0,0,0,0,0,0,0,0
armor/murk.obj,BAKE_CANDIDATE,4,272,272,0,0,0,0,0,0,0,0,0,0
armor/ncrpa.obj,BAKE_CANDIDATE,9,2001,2001,0,0,0,0,0,0,0,0,0,0
armor/no9.obj,NEEDS_RENDERER_REVIEW,3,247,247,0,0,0,0,13,0,0,0,0,0
armor/player_fem.obj,BAKE_CANDIDATE,6,166,166,0,0,0,0,0,0,0,0,0,0
armor/remnant.obj,BAKE_CANDIDATE,10,1370,1370,0,0,0,0,0,0,0,0,0,0
armor/steamsuit.obj,BAKE_CANDIDATE,8,2050,2050,0,0,0,0,0,0,0,0,0,0
armor/t51.obj,BAKE_CANDIDATE,8,1064,1064,0,0,0,0,0,0,0,0,0,0
armor/tail_peep.obj,BAKE_CANDIDATE,1,116,116,0,0,0,0,0,0,0,0,0,0
armor/taurun.obj,BAKE_CANDIDATE,8,616,616,0,0,0,0,0,0,0,0,0,0
armor/test.obj,BAKE_CANDIDATE,6,72,72,0,0,0,0,0,0,0,0,0,0
armor/trenchmaster.obj,BAKE_CANDIDATE,9,1222,1222,0,0,0,0,0,0,0,0,0,0
armor/wings_pheo.obj,BAKE_CANDIDATE,1,1110,1110,0,0,0,0,0,0,0,0,0,0
b29.obj,BAKE_CANDIDATE,1,1368,1368,0,0,0,0,0,0,0,0,0,0
blast_door_base.obj,BAKE_CANDIDATE,1,44,44,0,0,0,0,0,0,0,0,0,0
blast_door_block.obj,BAKE_CANDIDATE,1,34,34,0,0,0,0,0,0,0,0,0,0
blast_door_slider.obj,BAKE_CANDIDATE,1,8,8,0,0,0,0,0,0,0,0,0,0
blast_door_tooth.obj,BAKE_CANDIDATE,1,26,26,0,0,0,0,0,0,0,0,0,0
blocks/antenna_top.obj,BAKE_CANDIDATE,1,70,70,0,0,0,0,0,0,0,0,0,0
blocks/anvil.obj,BAKE_CANDIDATE,6,118,118,0,0,0,0,0,0,0,0,0,0
blocks/arrow.obj,BAKE_CANDIDATE,1,24,24,0,0,0,0,0,0,0,0,0,0
blocks/barbed_wire.obj,BAKE_CANDIDATE,1,184,184,0,0,0,0,0,0,0,0,0,0
blocks/barrel.obj,NEEDS_MATERIAL_REVIEW,2,22,22,0,0,1,0,0,0,0,0,0,0
blocks/battery.obj,BAKE_CANDIDATE,1,88,88,0,0,0,0,0,0,0,0,0,0
blocks/beam.obj,BAKE_CANDIDATE,1,12,12,0,0,0,0,0,0,0,0,0,0
blocks/cable_neo.obj,BAKE_CANDIDATE,10,260,260,0,0,0,0,0,0,0,0,0,0
blocks/capacitor.obj,BAKE_CANDIDATE,5,24,24,0,0,0,0,0,0,0,0,0,0
blocks/charge_c4.obj,BAKE_CANDIDATE,1,36,36,0,0,0,0,0,0,0,0,0,0
blocks/charge_dynamite.obj,BAKE_CANDIDATE,1,48,48,0,0,0,0,0,0,0,0,0,0
blocks/charger.obj,NEEDS_RENDERER_REVIEW,5,246,246,0,0,0,0,6,0,0,0,0,0
blocks/conservecrate.obj,BAKE_CANDIDATE,1,60,60,0,0,0,0,0,0,0,0,0,0
blocks/crane_buffer.obj,BAKE_CANDIDATE,6,28,28,0,0,0,0,0,0,0,0,0,0
blocks/crt.obj,BAKE_CANDIDATE,2,36,36,0,0,0,0,0,0,0,0,0,0
blocks/crystals_energy.obj,BAKE_CANDIDATE,1,176,176,0,0,0,0,0,0,0,0,0,0
blocks/crystals_power.obj,BAKE_CANDIDATE,1,288,288,0,0,0,0,0,0,0,0,0,0
blocks/crystals_robust.obj,BAKE_CANDIDATE,1,200,200,0,0,0,0,0,0,0,0,0,0
blocks/crystals_trixite.obj,BAKE_CANDIDATE,1,104,104,0,0,0,0,0,0,0,0,0,0
blocks/demon_lamp.obj,BAKE_CANDIDATE,1,552,552,0,0,0,0,0,0,0,0,0,0
blocks/difurnace_extension.obj,BAKE_CANDIDATE,3,20,20,0,0,0,0,0,0,0,0,0,0
blocks/floodlight.obj,BAKE_CANDIDATE,3,112,112,0,0,0,0,0,0,0,0,0,0
blocks/funnel.obj,BAKE_CANDIDATE,3,20,20,0,0,0,0,0,0,0,0,0,0
blocks/geiger_counter.obj,NEEDS_MATERIAL_REVIEW,1,228,228,0,0,1,0,0,0,0,0,0,0
blocks/pipe.obj,BAKE_CANDIDATE,2,32,32,0,0,0,0,0,0,0,0,0,0
blocks/pipe_frame.obj,BAKE_CANDIDATE,2,64,64,0,0,0,0,0,0,0,0,0,0
blocks/pipe_neo.obj,BAKE_CANDIDATE,14,164,164,0,0,0,0,0,0,0,0,0,0
blocks/pipe_quad.obj,BAKE_CANDIDATE,2,128,128,0,0,0,0,0,0,0,0,0,0
blocks/pipe_rim.obj,BAKE_CANDIDATE,2,80,80,0,0,0,0,0,0,0,0,0,0
blocks/pole.obj,BAKE_CANDIDATE,1,84,84,0,0,0,0,0,0,0,0,0,0
blocks/puter.obj,NEEDS_MATERIAL_REVIEW,1,96,96,0,0,1,0,0,0,0,0,0,0
blocks/rail_narrow.obj,BAKE_CANDIDATE,1,80,80,0,0,0,0,0,0,0,0,0,0
