"legacy_field","legacy_model","legacy_path","modern_status"
"heater_firebox","firebox","models/machines/firebox.obj","legacy-nosmooth-hooked"
"heater_oven","heating_oven","models/machines/heating_oven.obj","legacy-nosmooth-hooked"
"heater_electric","electric_heater","models/machines/electric_heater.obj","legacy-nosmooth-hooked"
"arc_welder","arc_welder","models/machines/arc_welder.obj","legacy-nosmooth-hooked"
"soldering_station","soldering_station","models/machines/soldering_station.obj","legacy-nosmooth-hooked"
"autosaw","autosaw","models/machines/autosaw.obj","legacy-nosmooth-hooked"
"rtg","rtg","models/machines/rtg.obj","legacy-nosmooth-hooked"
"radar_body","radar_base","models/radar_base.obj","legacy-nosmooth-hooked"
"radar","radar","models/machines/radar.obj","legacy-nosmooth-hooked"
"radar_large","radar_large","models/machines/radar_large.obj","legacy-nosmooth-hooked"
"radar_screen","radar_screen","models/machines/radar_screen.obj","legacy-nosmooth-hooked"
"solar_mirror","solar_mirror","models/machines/solar_mirror.obj","legacy-nosmooth-hooked"
"skeleton_holder","skeleton_holder","models/blocks/skeleton_holder.obj","legacy-nosmooth-hooked"
"lantern","lantern","models/trinkets/lantern.obj","legacy-nosmooth-hooked"
"cage_lamp","cage_lamp","models/lights/cage_lamp.obj","legacy-nosmooth-hooked"
"fluorescent_lamp","fluorescent_lamp","models/lights/fluorescent_lamp.obj","legacy-nosmooth-hooked"
"flood_lamp","flood_lamp","models/lights/flood_lamp.obj","legacy-nosmooth-hooked"
"connector","connector","models/network/connector.obj","legacy-nosmooth-hooked"
"connector_super","connector_super","models/network/connector_super.obj","legacy-nosmooth-hooked"
"pylon_medium","pylon_medium","models/network/pylon_medium.obj","legacy-nosmooth-hooked"
"pylon_large","pylon_large","models/network/pylon_large.obj","legacy-nosmooth-hooked"
"chainsaw","chainsaw","models/weapons/chainsaw.obj","legacy-nosmooth-hooked"
"player_manly_af","player_fem","models/armor/player_fem.obj","legacy-nosmooth-hooked"
"missileStealth","missile_stealth","models/missile_stealth.obj","legacy-nosmooth-hooked"
"soyuz_launcher_legs","soyuz_launcher_legs","models/launch_table/soyuz_launcher_legs.obj","legacy-nosmooth-hooked"
"soyuz_launcher_table","soyuz_launcher_table","models/launch_table/soyuz_launcher_table.obj","legacy-nosmooth-hooked"
"soyuz_launcher_tower_base","soyuz_launcher_tower_base","models/launch_table/soyuz_launcher_tower_base.obj","legacy-nosmooth-hooked"
"soyuz_launcher_tower","soyuz_launcher_tower","models/launch_table/soyuz_launcher_tower.obj","legacy-nosmooth-hooked"
"soyuz_launcher_support_base","soyuz_launcher_support_base","models/launch_table/soyuz_launcher_support_base.obj","legacy-nosmooth-hooked"
"soyuz_launcher_support","soyuz_launcher_support","models/launch_table/soyuz_launcher_support.obj","legacy-nosmooth-hooked"
"scaffold","scaffold","models/blocks/scaffold.obj","legacy-nosmooth-hooked"
"taperecorder","taperecorder","models/blocks/taperecorder.obj","legacy-nosmooth-hooked"
"beam","beam","models/blocks/beam.obj","legacy-nosmooth-hooked"
"barrel","barrel","models/blocks/barrel.obj","legacy-nosmooth-hooked"
"pole","pole","models/blocks/pole.obj","legacy-nosmooth-hooked"
"barbed_wire","barbed_wire","models/blocks/barbed_wire.obj","legacy-nosmooth-hooked"
"spikes","spikes","models/blocks/spikes.obj","legacy-nosmooth-hooked"
"antenna_top","antenna_top","models/blocks/antenna_top.obj","legacy-nosmooth-hooked"
"conservecrate","conservecrate","models/blocks/conservecrate.obj","legacy-nosmooth-hooked"
"pipe","pipe","models/blocks/pipe.obj","legacy-nosmooth-hooked"
"pipe_rim","pipe_rim","models/blocks/pipe_rim.obj","legacy-nosmooth-hooked"
"pipe_quad","pipe_quad","models/blocks/pipe_quad.obj","legacy-nosmooth-hooked"
"pipe_frame","pipe_frame","models/blocks/pipe_frame.obj","legacy-nosmooth-hooked"
"rtty","rtty","models/blocks/rtty.obj","legacy-nosmooth-hooked"
"crt","crt","models/blocks/crt.obj","legacy-nosmooth-hooked"
"toaster","toaster","models/blocks/toaster.obj","legacy-nosmooth-hooked"
"deco_computer","puter","models/blocks/puter.obj","legacy-nosmooth-hooked"
"rbmk_element","rbmk_element","models/rbmk/rbmk_element.obj","legacy-nosmooth-hooked"
"rbmk_element_rods","rbmk_element_rods","models/rbmk/rbmk_element_rods.obj","legacy-nosmooth-hooked"
"rbmk_element_rods_vbo","rbmk_element_rods","models/rbmk/rbmk_element_rods.obj","legacy-nosmooth-hooked"
"rbmk_rods","rbmk_rods","models/rbmk/rbmk_rods.obj","legacy-nosmooth-hooked"
